Gemeente;Gemeentelijke Opcentiemen
 WORTEGEM-PETEGEM;882
 WUUSTWEZEL;740
 ZANDHOVEN;614
 ZAVENTEM;472
 ZEDELGEM;945
 ZELE;870
 ZELZATE;913,1
 ZEMST;693
 ZOERSEL;589
 ZONHOVEN;850
 ZONNEBEKE;1196
 ZOTTEGEM;1070
 ZOUTLEEUW;945
 ZUIENKERKE;1133,5
 ZULTE;875
 ZUTENDAAL;788
 ZWALM;819
 ZWEVEGEM;1228
